tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
2.852	0.002	99999.000	0.00400000	0.01400000	1.955	3.498	2.289	3.326	2.418	3.252	0.000	0.731	0.000	0.490	0.000	0.248	15.289	99999.000	22.008	99999.000	30.992	99999.000
2.795	0.000	155.000	0.48900000	0.27200000	1.494	3.578	1.717	3.383	1.912	3.271	0.000	1.357	0.000	1.034	0.000	0.837	11.335	99999.000	16.250	99999.000	20.508	99999.000
2.395	0.007	99999.000	0.07400000	0.10300000	1.709	3.115	1.895	2.883	2.021	2.797	0.000	0.531	0.000	0.357	0.000	0.167	9.996	99999.000	14.020	99999.000	19.117	99999.000
2.484	0.000	99999.000	0.10800000	0.08300000	1.918	3.129	2.010	2.910	2.141	2.830	0.000	0.626	0.000	0.350	0.000	0.141	11.617	99999.000	17.848	99999.000	25.133	99999.000
2.244	0.051	99999.000	0.57800000	0.78200000	1.432	3.115	1.678	2.791	1.848	2.682	0.000	0.599	0.000	0.410	0.000	0.197	9.215	99999.000	14.996	99999.000	18.570	99999.000
1.992	0.464	13.633	0.81100000	0.79000000	0.660	5.555	0.982	4.279	1.184	3.861	0.000	2.450	0.000	1.346	0.000	0.956	2.329	99999.000	3.455	99999.000	4.580	99999.000
2.141	0.000	99999.000	0.50100000	0.33200000	1.623	2.779	1.748	2.578	1.834	2.492	0.000	0.555	0.000	0.239	0.000	0.093	8.404	99999.000	12.828	99999.000	17.535	99999.000
2.246	0.026	490.000	0.44000000	0.09800000	1.271	2.973	1.451	2.760	1.639	2.658	0.000	1.002	0.000	0.742	0.000	0.626	9.531	99999.000	12.656	99999.000	16.758	99999.000
2.086	0.000	99999.000	0.00000000	0.01900000	1.516	2.754	1.633	2.594	1.762	2.479	0.000	0.577	0.000	0.287	0.000	0.067	7.555	99999.000	12.145	99999.000	18.395	99999.000
3.104	0.000	99999.000	0.08000000	0.04000000	2.291	3.758	2.594	3.549	2.650	3.461	0.000	0.628	0.000	0.431	0.000	0.151	15.562	99999.000	27.672	99999.000	36.812	99999.000
3.613	0.000	99999.000	0.04600000	0.02600000	2.758	4.381	3.113	4.121	3.193	4.018	0.000	0.800	0.000	0.418	0.000	0.169	22.398	99999.000	36.305	99999.000	43.609	99999.000
1.805	0.000	99999.000	0.42700000	0.19000000	1.273	2.553	1.404	2.254	1.506	2.137	0.000	0.445	0.000	0.206	0.000	0.054	5.758	99999.000	9.566	99999.000	15.055	99999.000
2.609	0.033	65.234	0.23800000	0.09400000	1.070	3.617	1.447	3.443	1.650	3.314	0.000	1.348	0.000	1.014	0.000	0.786	5.851	99999.000	10.059	99999.000	13.267	99999.000
2.424	0.000	99999.000	0.04200000	0.02100000	1.908	3.021	1.988	2.855	2.088	2.779	0.000	0.596	0.000	0.265	0.000	0.070	10.777	99999.000	15.270	99999.000	19.742	99999.000
2.572	0.000	99999.000	0.52400000	0.88200000	2.010	3.121	2.080	3.023	2.230	2.941	0.000	0.557	0.000	0.221	0.000	0.070	13.297	99999.000	21.188	99999.000	28.082	99999.000
2.580	0.004	99999.000	0.23500000	0.12100000	1.709	3.174	1.986	3.039	2.182	2.955	0.000	0.696	0.000	0.397	0.000	0.174	13.258	99999.000	18.688	99999.000	25.172	99999.000
2.367	0.002	99999.000	0.08000000	0.06000000	1.557	3.133	1.805	2.832	1.936	2.719	0.000	0.594	0.000	0.371	0.000	0.214	8.785	99999.000	15.992	99999.000	21.695	99999.000
2.625	0.000	99999.000	0.15700000	0.18900000	2.102	3.256	2.137	3.074	2.258	2.975	0.000	0.661	0.000	0.276	0.000	0.070	12.457	99999.000	20.211	99999.000	28.258	99999.000
2.301	0.000	99999.000	0.00600000	0.02300000	1.730	2.914	1.834	2.703	1.936	2.643	0.000	0.506	0.000	0.206	0.000	0.076	10.523	99999.000	13.883	99999.000	20.172	99999.000
2.799	0.000	99999.000	0.20500000	0.12300000	2.010	3.570	2.299	3.295	2.393	3.176	0.000	0.715	0.000	0.336	0.000	0.114	16.773	99999.000	23.102	99999.000	28.883	99999.000
